entity_name,name_variants,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,state_count,restaurant_phone,sample_address,apollo_company,apollo_email,apollo_linkedin,apollo_title,ny_match_count,ny_first_result_name,ny_entity_number,ny_status,ny_entity_type,ny_formation_date,ny_jurisdiction,ny_agent_name,ny_agent_type,ny_agent_is_individual,ny_agent_address,ny_principal_address,ny_mailing_address,ny_statement_due_date,ny_inactive_date,ny_agent_address_matches_principal,ny_likely_owner_name,ny_operator_pattern,ny_multi_entity_operator,ny_query_used,ny_query_attempts,ny_name_similarity,ny_score,ny_alternates,ny_fetched_at,ny_error,ny_county,ny_ceo_name,ny_ceo_address,ny_dos_process_name,ny_location_address
Cb Palisades Llc,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(914) 278-0980,1000 Palisades Center Dr.,,,,,1,CB PALISADES LLC,6725589,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/07/2023,New York,CORPORATION SERVICE COMPANY,,False,"80 STATE ST., ALBANY, NY, 12207","80 STATE ST., ALBANY, NY, 12207",,,,True,,service_agent,True,Cb Palisades Llc,Cb Palisades Llc,1.000,200.00,,2026-05-06T18:37:24.478301+00:00,,Rockland,,,CORPORATION SERVICE COMPANY,
Lesly Richard,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(347) 248-6158,,,,,,0,,,,,,,,,,,,,,,,,,,Lesly Richard,Lesly Richard,,,,2026-05-06T18:37:24.478301+00:00,,,,,,
Md Sazdar Rahman,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(718) 200-3047,,,,,,0,,,,,,,,,,,,,,,,,,,Md Sazdar Rahman,Md Sazdar Rahman,,,,2026-05-06T18:37:24.478301+00:00,,,,,,
Ts Management 10 Llc,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(917) 902-4851,,,,,,1,TS MANAGEMENT 10 LLC,7678842,Active,DOMESTIC LIMITED LIABILITY COMPANY,08/06/2025,New York,Hochheiser & Akmal PLLC,Individual,True,"910 Franklin Ave., Suite 220, Garden City, NY, 11530","910 Franklin Ave., Suite 220, Garden City, NY, 11530",,,,True,Hochheiser & Akmal PLLC,owner_operator,False,Ts Management 10 Llc,Ts Management 10 Llc,1.000,200.00,,2026-05-06T18:37:24.478301+00:00,,Nassau,,,Hochheiser & Akmal PLLC,
2 Sweet Of Yonkers Inc.,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(516) 458-8020,,,,,,1,2 SWEET OF YONKERS INC.,3677003,Active,DOMESTIC BUSINESS CORPORATION,05/28/2008,New York,2 SWEET OF YONKERS INC.,,False,"101 DUPONT STREET  UNIT # 20, PLAINVIEW, NY, 11803","101 DUPONT STREET  UNIT # 20, PLAINVIEW, NY, 11803",,,,True,OM P BHATHIJA,owner_operator,True,2 Sweet Of Yonkers Inc.,2 Sweet Of Yonkers Inc. | 2 sweet,1.000,200.00,"[{""name"": ""2 SWEET INC."", ""num"": ""3551832"", ""score"": 150.0}]",2026-05-06T18:37:24.478301+00:00,,Westchester,OM P BHATHIJA,"OM P BHATHIJA, PLAINVIEW, NY, 11803",2 SWEET OF YONKERS INC.,"101 DUPONT STREET  UNIT # 20, PLAINVIEW, NY, 11803"
"M. Nassa Enterprise, Inc.",,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(845) 928-0791,,,,,,1,"M. NASSA ENTERPRISE, INC.",7444048,Active,DOMESTIC BUSINESS CORPORATION,10/17/2024,New York,c/o the corporation,Individual,True,"33 round lake avenue, MONROE, NY, 10950","33 round lake avenue, MONROE, NY, 10950",,,,True,c/o the corporation,owner_operator,True,"M. Nassa Enterprise, Inc.","M. Nassa Enterprise, Inc.",1.000,200.00,,2026-05-06T18:37:24.479299+00:00,,Orange,,,c/o the corporation,
Steven Hidary,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(212) 901-2643,,,,,,0,,,,,,,,,,,,,,,,,,,Steven Hidary,Steven Hidary,,,,2026-05-06T18:37:24.479299+00:00,,,,,,
"Wilson Castillo, Jake Williams",,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(516) 850-1375,,,,,,0,,,,,,,,,,,,,,,,,,,"Wilson Castillo, Jake Williams","Wilson Castillo, Jake Williams",,,,2026-05-06T18:37:24.479299+00:00,,,,,,
Niagara Falls Dessert House Llc,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,716-544-0122,,,,,,1,NIAGARA FALLS DESSERT HOUSE LLC,7521807,Active,DOMESTIC LIMITED LIABILITY COMPANY,01/30/2025,New York,MUHAMMAD SHOAIB,Individual,True,"151 BUFFALO AVE, APT 610, NIAGARA FALLS, NY, 14303","151 BUFFALO AVE, APT 610, NIAGARA FALLS, NY, 14303",,,,True,MUHAMMAD SHOAIB,owner_operator,True,Niagara Falls Dessert House Llc,Niagara Falls Dessert House Llc | niagara falls,1.000,200.00,"[{""name"": ""NIAGARA FALLS (RESIDENTIAL) LIMITED"", ""num"": ""6710544"", ""score"": 150.0}]",2026-05-06T18:37:24.479299+00:00,,Niagara,,,MUHAMMAD SHOAIB,
Romesha Balkumar,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(646) 725-9653,,,,,,0,,,,,,,,,,,,,,,,,,,Romesha Balkumar,Romesha Balkumar,,,,2026-05-06T18:37:24.479299+00:00,,,,,,
Bhatzlacha 770 Llc,,1,Cinnabon,1,No,NEW YORK,NEW YORK,1,(347) 409-6580,,,,,,1,BHATZLACHA 770 LLC,5868653,Active,DOMESTIC LIMITED LIABILITY COMPANY,10/30/2020,New York,STEWART STERNBACH,Individual,True,"100 MERRICK ROAD, SUITE 400E, ROCKVILLE CENTRE, NY, 11570","100 MERRICK ROAD, SUITE 400E, ROCKVILLE CENTRE, NY, 11570",,,,True,STEWART STERNBACH,owner_operator,False,Bhatzlacha 770 Llc,Bhatzlacha 770 Llc,1.000,200.00,,2026-05-06T18:37:24.479299+00:00,,Nassau,,,STEWART STERNBACH,
Jalak Enterprises Inc,,1,Dairy Queen,1,No,NY,NY,1,7168228450,1102 Abbott Rd,,,,,1,"JALAK ENTERPRISES, INC.",341559,Active,DOMESTIC BUSINESS CORPORATION,04/19/1974,New York,"JALAK ENTERPRISES, INC.",,False,"1102 ABBOTT RD, BUFFALO, NY, 14220","7845 JEWETT HOLMWOOD, ORCHARD PARK, NY, 14127","1102 ABBOTT RD, BUFFALO, NY, 14220",,,False,PAMELA S STARK,owner_operator,False,Jalak Enterprises Inc,Jalak Enterprises Inc,1.000,200.00,,2026-05-06T18:37:24.479299+00:00,,Erie,PAMELA S STARK,"PAMELA S STARK, ORCHARD PARK, NY, 14127","JALAK ENTERPRISES, INC.","7845 JEWETT HOLMWOOD, ORCHARD PARK, NY, 14127"
Grl Enterprises Llc,,1,Dairy Queen,1,No,NY,NY,1,7168332834,261 KENMORE AVE,,,,,1,"GRL ENTERPRISES, LLC",5245680,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/06/2017,New York,"STEVEN K. LONG, ESQ.",Individual,True,"8995 Main Street, Clarence, NY, 14031","8995 Main Street, Clarence, NY, 14031",,,,True,"STEVEN K. LONG, ESQ.",attorney_agent,False,Grl Enterprises Llc,Grl Enterprises Llc,1.000,200.00,,2026-05-06T18:37:24.479299+00:00,,Erie,,,"STEVEN K. LONG, ESQ.",
Tangen Dairy Products Inc,,1,Dairy Queen,1,No,NY,NY,1,7168342447,782 Niagara Fls Blvd,,,,,1,"TANGEN DAIRY PRODUCTS, INC.",341558,Active,DOMESTIC BUSINESS CORPORATION,04/19/1974,New York,"TANGEN DAIRY PRODUCTS, INC.",,False,"782 NIAGARA FALLS BLVD., TONAWANDA, NY, 142231838","782 NIAGARA FALLS BLVD., TONAWANDA, NY, 142231838",,,,True,JAN KOMANSKI,owner_operator,False,Tangen Dairy Products Inc,Tangen Dairy Products Inc,1.000,200.00,,2026-05-06T18:37:24.479299+00:00,,Erie,JAN KOMANSKI,"JAN KOMANSKI, TONAWANDA, NY, 142231838","TANGEN DAIRY PRODUCTS, INC.","782 NIAGARA FALLS BLVD., TONAWANDA, NY, 142231838"
Pork Chop Inc,,1,Dairy Queen,1,No,NY,NY,1,7168366791,3759 Harlem Rd,,,,,1,"PORK CHOP, INC.",1916459,Active,DOMESTIC BUSINESS CORPORATION,04/26/1995,New York,"PORK CHOP, INC.",,False,"308 ELLEN DRIVE, CHEEKTOWAGA, NY, 14225","3759 HARLEM RD., CHEEKTOWAGA, NY, 142151907","308 ELLEN DRIVE, CHEEKTOWAGA, NY, 14225",,,False,"WILLIAM K. ROESCH, JR.",owner_operator,False,Pork Chop Inc,Pork Chop Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,"WILLIAM K. ROESCH, JR.","WILLIAM K. ROESCH, JR., CHEEKTOWAGA, NY, 142151907","PORK CHOP, INC.","3759 HARLEM RD., CHEEKTOWAGA, NY, 142151907"
716 Dilly Inc,,1,Dairy Queen,1,No,NY,NY,1,7166770234,465 French Rd,,,,,1,"716 DILLY, INC.",5920744,Active,DOMESTIC BUSINESS CORPORATION,01/19/2021,New York,ERIC GAWRON,Individual,True,"7919 Feddick Rd, Hamburg, NY, 14075","7919 Feddick Rd, Hamburg, NY, 14075",,,,True,ERIC GAWRON,owner_operator,True,716 Dilly Inc,716 Dilly Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,,,ERIC GAWRON,
Depew Dairy Queen Inc,,1,Dairy Queen,1,No,NY,NY,1,7166832050,5016 Broadway,,,,,1,"DEPEW DAIRY QUEEN, INC.",1776875,Active,DOMESTIC BUSINESS CORPORATION,12/03/1993,New York,"DEPEW DAIRY QUEEN, INC.",,False,"5016 BROADWAY, DEPEW, NY, 14043","5016 BROADWAY, DEPEW, NY, 14043",,,,True,CAROL L. HUBER,owner_operator,False,Depew Dairy Queen Inc,Depew Dairy Queen Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,CAROL L. HUBER,"CAROL L. HUBER, DEPEW, NY, 14043","DEPEW DAIRY QUEEN, INC.","5016 BROADWAY, DEPEW, NY, 14043"
Gawron Group Inc,,1,Dairy Queen,1,No,NY,NY,1,7169929410,8380 N Main St,,,,,1,"GAWRON GROUP, INC",5118738,Active,DOMESTIC BUSINESS CORPORATION,04/12/2017,New York,ERIC GAWRON,,False,"7919 FEDDICK RD, HAMBURG, NEW YORK, 14075","7919 FEDDICK RD, HAMBURG, NY, 14075",,,,True,ERIC J GAWRON,owner_operator,True,Gawron Group Inc,Gawron Group Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,ERIC J GAWRON,"ERIC J GAWRON, HAMBURG, NY, 14075",ERIC J GAWRON,
Dawner Enterprises Ltd,,1,Dairy Queen,1,No,NY,NY,1,7166496972,250 Lake St,,,,,1,DAWNER ENTERPRISES LTD.,409388,Active,DOMESTIC BUSINESS CORPORATION,09/08/1976,New York,CHARLES J. LAZARONY,,False,"250 LAKE ST., HAMBURG, NEW YORK, 14075","250 LAKE ST, HAMBURG, NY, 14075",,,,True,CHARLES J. LAZARONY JR,owner_operator,False,Dawner Enterprises Ltd,Dawner Enterprises Ltd,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,CHARLES J. LAZARONY JR,"CHARLES J. LAZARONY JR, HAMBURG, NY, 140754418",DAWNER ENTERPRISES LTD.,
Jk Collins Foods Llc,,1,Dairy Queen,1,No,NY,NY,1,7168758821,2517 Elmwood Ave,,,,,1,JK COLLINS FOODS LLC,6008700,Active,DOMESTIC LIMITED LIABILITY COMPANY,05/07/2021,New York,C/O RUPP BAASE PFALZGRAF CUNNINGHAM LLC,,False,"1600 LIBERTY BUILDING, 424 MAIN STREET, BUFFALO, NY, 14202","1600 LIBERTY BUILDING, 424 MAIN STREET, BUFFALO, NY, 14202",,,,True,,service_agent,False,Jk Collins Foods Llc,Jk Collins Foods Llc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,,,C/O RUPP BAASE PFALZGRAF CUNNINGHAM LLC,
Jnd Sweets Inc,,1,Dairy Queen,1,No,NY,NY,1,7168253714,3126 S Park Ave,,,,,0,,,,,,,,,,,,,,,,,,,Jnd Sweets Inc,Jnd Sweets Inc,,,,2026-05-06T18:37:24.480300+00:00,,,,,,
"Schmelzle, Mona L",,1,Dairy Queen,1,No,NY,NY,1,7162970529,2301 Military Rd,,,,,0,,,,,,,,,,,,,,,,,,,"Schmelzle, Mona L","Schmelzle, Mona L",,,,2026-05-06T18:37:24.480300+00:00,,,,,,
Goodhue Group Soft Serv Inc,,1,Dairy Queen,1,No,NY,NY,1,6074328142,413 Chestnut St,,,,,1,"GOODHUE GROUP, SOFT SERV, INC.",3196254,Active,DOMESTIC BUSINESS CORPORATION,04/26/2005,New York,"GOODHUE GROUP, SOFT SERV, INC.",,False,"136 WEST STREET EXTENSION, ONEONTA, NY, 13820","136 WEST STREET EXTENSION, ONEONTA, NY, 13820",,,,True,CLYDE GOODHUE,owner_operator,False,Goodhue Group Soft Serv Inc,Goodhue Group Soft Serv Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Otsego,CLYDE GOODHUE,"CLYDE GOODHUE, ONEONTA, NY, 13820","GOODHUE GROUP, SOFT SERV, INC.",
Mapjr Inc,,1,Dairy Queen,1,No,NY,NY,1,7166958259,100 Niagara St,,,,,1,MAPJR INC.,6209397,Active,DOMESTIC BUSINESS CORPORATION,06/30/2021,New York,MAPJR INC.,,False,"84 niagara street, TONAWANDA, NY, 14150","84 niagara street, TONAWANDA, NY, 14150",,,,True,,service_agent,False,Mapjr Inc,Mapjr Inc,1.000,200.00,,2026-05-06T18:37:24.480300+00:00,,Erie,,,MAPJR INC.,
Trav-Nic Corp Ltd,,1,Dairy Queen,1,No,NY,NY,1,7168335066,922 Brighton Rd,,,,,1,"TRAV-NIC CORP., LTD.",1014380,Active,DOMESTIC BUSINESS CORPORATION,07/25/1985,New York,TRAVIS SPERRAZZA,,False,"477 WOODSTOCK AVE, TONAWANDA, NY, 14150","477 WOODSTOCK AVE, TONAWANDA, NY, 14150",,,,True,TRAVIS SPERRAZZA,owner_operator,False,Trav-Nic Corp Ltd,Trav-Nic Corp Ltd,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Erie,TRAVIS SPERRAZZA,"TRAVIS SPERRAZZA, TONAWANDA, NY, 14150",TRAVIS SPERRAZZA,"477 WOODSTOCK AVE, TONAWANDA, NY, 14150"
Transit Treats Inc,,1,Dairy Queen,1,No,NY,NY,1,7166891775,5445 Transit Rd,,,,,1,TRANSIT TREATS INC.,6606665,Active,DOMESTIC BUSINESS CORPORATION,10/03/2022,New York,TRANSIT TREATS INC.,,False,"5445 Transit Rd, Williamsville, NY, 14221","5445 Transit Rd, Williamsville, NY, 14221",,,,True,,service_agent,False,Transit Treats Inc,Transit Treats Inc,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Erie,,,TRANSIT TREATS INC.,
Audrey Guthrie Inc,,1,Dairy Queen,1,No,NY,NY,1,3157141000,51 Gouverneur St,,,,,1,"AUDREY GUTHRIE, INC.",1215120,Active,DOMESTIC BUSINESS CORPORATION,11/06/1987,New York,GWENDOLYN PUTMAN,,False,"45 GOUVERNEUR STREET, CANTON, NY, 13617","1164 PEBBLEWOOD DRIVE, SACRAMENTO, CA, 95833","45 GOUVERNEUR STREET, CANTON, NY, 13617",,,False,GAIL CRABTREE,owner_operator,False,Audrey Guthrie Inc,Audrey Guthrie Inc,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,St. Lawrence,GAIL CRABTREE,"GAIL CRABTREE, SACRAMENTO, CA, 95833",GWENDOLYN PUTMAN,"1164 PEBBLEWOOD DRIVE, SACRAMENTO, CA, 95833"
The East Northport Treat Company Llc,,1,Dairy Queen,1,No,NY,NY,1,9177016854,4005 Jericho Tpke,,,,,1,"THE EAST NORTHPORT TREAT COMPANY, LLC",4588435,Active,DOMESTIC LIMITED LIABILITY COMPANY,06/06/2014,New York,LAURA MAIER,Individual,True,"126 BERKELEY PLACE, MASSAPEQUA, NY, 11758","126 BERKELEY PLACE, MASSAPEQUA, NY, 11758",,,,True,LAURA MAIER,owner_operator,True,The East Northport Treat Company Llc,The East Northport Treat Company Llc,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Nassau,,,LAURA MAIER,
Dnj Management Llc,,1,Dairy Queen,1,No,NY,NY,1,3156296701,26475 Johnson Rd,,,,,1,DNJ MANAGEMENT LLC,4368049,Active,DOMESTIC LIMITED LIABILITY COMPANY,03/01/2013,New York,DAMON DRAUGHT,Individual,True,"19228 WOODSIDE DR, WATERTOWN, NEW YORK, 13601","19228 WOODSIDE DR, WATERTOWN, NY, 13601",,,,True,DAMON DRAUGHT,owner_operator,False,Dnj Management Llc,Dnj Management Llc,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Jefferson,,,DNJ MANAGEMENT LLC,
Mjs Food Services Llc,,1,Dairy Queen,1,No,NY,NY,1,5183923440,2319 State Route 66,,,,,1,"MJS FOOD SERVICES, LLC",2604451,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/09/2001,New York,"MJS FOOD SERVICES, LLC",,False,"P.O. BOX 347, GHENT, NY, 12075","P.O. BOX 347, GHENT, NY, 12075",,,,True,,service_agent,False,Mjs Food Services Llc,Mjs Food Services Llc | mjs food,1.000,200.00,"[{""name"": ""MJS FOOD CORP."", ""num"": ""3640049"", ""score"": 166.67}]",2026-05-06T18:37:24.481299+00:00,,Columbia,,,"MJS FOOD SERVICES, LLC",
Miway Food Corporation,,1,Dairy Queen,1,No,NY,NY,1,8452297170,4164 Albany Post Rd,,,,,1,MIWAY FOOD CORP.,1066697,Active,DOMESTIC BUSINESS CORPORATION,03/19/1986,New York,JONATHAN S. MAEDER,,False,"4164 ALBANY POST ROAD, HYDE PARK, NY, 12538","39 MANSION DRIVE, HYDE PARK, NY, 12538","4164 ALBANY POST ROAD, HYDE PARK, NY, 12538",,,False,JONATHAN S. MAEDER,owner_operator,False,Miway Food Corporation,Miway Food Corporation,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Dutchess,JONATHAN S. MAEDER,"JONATHAN S. MAEDER, HYDE PARK, NY, 12538",JONATHAN S. MAEDER,"39 MANSION DRIVE, HYDE PARK, NY, 12538"
Three Treats Llc,,1,Dairy Queen,1,No,NY,NY,1,5186512030,3365 State Route 11,,,,,1,"THREE TREATS, LLC",4526475,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/10/2014,New York,"THREE TREATS, LLC",,False,"P.O. BOX 390, MALONE, NY, 12953","P.O. BOX 390, MALONE, NY, 12953",,,,True,,service_agent,False,Three Treats Llc,Three Treats Llc,1.000,200.00,,2026-05-06T18:37:24.481299+00:00,,Franklin,,,"THREE TREATS, LLC",
Icqli Llc,,1,Dairy Queen,1,No,NY,NY,1,5163084683,5366 Sunrise Hwy,,,,,1,ICQLI LLC,4275088,Active,DOMESTIC LIMITED LIABILITY COMPANY,07/25/2012,New York,LAURA MAIER,Individual,True,"126 BERKELEY PLACE, MASSAPEQUA, NY, 11758","126 BERKELEY PLACE, MASSAPEQUA, NY, 11758",,,,True,LAURA MAIER,owner_operator,True,Icqli Llc,Icqli Llc,1.000,200.00,,2026-05-06T18:37:24.482299+00:00,,Nassau,,,LAURA MAIER,
D & M Food Company,,1,Dairy Queen,1,No,NY,NY,1,3157640600,85 Parker Ave,,,,,1,D & M CORP.,1470548,Active,DOMESTIC BUSINESS CORPORATION,08/24/1990,New York,FRANK DEVITA,Individual,True,"37 LEHRER AVENUE, ELMONT, NY, 11003","37 LEHRER AVENUE, ELMONT, NY, 11003",,,,True,FRANK DEVITA,owner_operator,False,d and m,d and m | d and,0.750,175.00,"[{""name"": ""D & COMPANY LLC"", ""num"": ""7441852"", ""score"": 150.0}, {""name"": ""D&CO LLC"", ""num"": ""6541712"", ""score"": 150.0}, {""name"": ""D&CO, LLC"", ""num"": ""6567425"", ""score"": 150.0}]",2026-05-06T18:37:24.482299+00:00,,Queens,,,FRANK DEVITA,
Stp Hospitality Network Inc,,1,Dairy Queen,1,No,NY,NY,1,6465304138,1145 Montauk Highway,,,,,1,"STP HOSPITALITY NETWORK, INC.",5883816,Active,DOMESTIC BUSINESS CORPORATION,11/23/2020,New York,AMEED BATHIJA,Individual,True,"P.O. BOX 705, SHIRLEY, NY, 11967","P.O. BOX 705, SHIRLEY, NY, 11967",,,,True,AMEED BATHIJA,owner_operator,False,Stp Hospitality Network Inc,Stp Hospitality Network Inc,1.000,200.00,,2026-05-06T18:37:24.482299+00:00,,Suffolk,,,AMEED BATHIJA,
Michpat & Fam Llc,,1,Dairy Queen,1,No,NY,NY,1,6318803244,2846 Rt 112,,,,,1,"MICHPAT & FAM, LLC",4497056,Active,DOMESTIC LIMITED LIABILITY COMPANY,12/06/2013,New York,MICHELLE ROBEY,Individual,True,"1 SHANNON COURT, CENTER MORICHES, NEW YORK, 11934","1 SHANNON COURT, CENTER MORICHES, NY, 11934",,,,True,MICHELLE ROBEY,owner_operator,False,Michpat & Fam Llc,Michpat & Fam Llc,1.000,200.00,,2026-05-06T18:37:24.482299+00:00,,Suffolk,,,"MICHPAT & FAM, LLC",
Dev Fast Food Inc,,1,Dairy Queen,1,No,NY,NY,1,8453811118,11 James P Kelly Way,,,,,1,DEV FAST FOOD INC.,6789525,Active,DOMESTIC BUSINESS CORPORATION,04/03/2023,New York,NITABEN PATEL,Individual,True,"1713 WATERFORD DR, EDISON, NJ, 08817","1713 WATERFORD DR, EDISON, NJ, 08817",,,,True,NITABEN PATEL,owner_operator,False,Dev Fast Food Inc,Dev Fast Food Inc,1.000,200.00,,2026-05-06T18:37:24.482299+00:00,,Orange,,,NITABEN PATEL,
Palmeri'S & Son Inc,,1,Dairy Queen,1,No,NY,NY,1,7162851873,2432 Niagara St,,,,,1,"PALMERI'S & SON, INC.",3879824,Active,DOMESTIC BUSINESS CORPORATION,11/17/2009,New York,"PALMERI'S & SON, INC.",,False,"2432 NIAGARA STREET, NIAGARA FALLS, NY, 14303","2432 NIAGARA STREET, NIAGARA FALLS, NY, 14304","2432 NIAGARA STREET, NIAGARA FALLS, NY, 14303",,,True,MICHAEL A PALMERI SR,owner_operator,False,Palmeri'S & Son Inc,Palmeri'S & Son Inc,1.000,200.00,,2026-05-06T18:37:24.482299+00:00,,Niagara,MICHAEL A PALMERI SR,"MICHAEL A PALMERI SR, NIAGARA FALLS, NY, 14304","PALMERI'S & SON, INC.","2432 NIAGARA STREET, NIAGARA FALLS, NY, 14304"
Musabbirrifa Llc,,1,Dairy Queen,1,No,NY,NY,1,6316480542,594 Middle Country Rd,,,,,0,,,,,,,,,,,,,,,,,,,Musabbirrifa Llc,Musabbirrifa Llc,,,,2026-05-06T18:37:24.482299+00:00,,,,,,
"Gallo, Louis / Gallo, John",,1,Dairy Queen,1,No,NY,NY,1,8452972000,1585 Route 9,,,,,0,,,,,,,,,,,,,,,,,,,"Gallo, Louis / Gallo, John","Gallo, Louis / Gallo, John",,,,2026-05-06T18:37:24.482299+00:00,,,,,,
"Rahman, Hafizur",,1,Domino's,1,No,NY,NY,1,(516) 483-3030,317 Hempstead Ave.,,,,,0,,,,,,,,,,,,,,,,,,,"Rahman, Hafizur","Rahman, Hafizur",,,,2026-05-06T18:37:24.482299+00:00,,,,,,
"Ahmed, Md Shueb",,1,Domino's,1,No,NY,NY,1,(212) 802-4444,45 Catherine St.,,,,,0,,,,,,,,,,,,,,,,,,,"Ahmed, Md Shueb","Ahmed, Md Shueb",,,,2026-05-06T18:37:24.482299+00:00,,,,,,
"Baldwin, Adam",,1,Domino's,1,No,NY,NY,1,(716) 969-7813,345 Cole Ave.,,,,,0,,,,,,,,,,,,,,,,,,,"Baldwin, Adam","Baldwin, Adam",,,,2026-05-06T18:37:24.482299+00:00,,,,,,
"De Busk, Larry",,1,Domino's,1,No,NY,NY,1,(607) 786-5907,314 Paul Street,,,,,0,,,,,,,,,,,,,,,,,,,"De Busk, Larry","De Busk, Larry",,,,2026-05-06T18:37:24.482299+00:00,,,,,,
Ar Burgers Llc (Atul Singh),,1,Five Guys,1,No,NY,NY,1,315-736-4897,4666 Commercial Dr.,,,,,1,AR BURGERS LLC,5879723,Active,DOMESTIC LIMITED LIABILITY COMPANY,11/17/2020,New York,AR BURGERS LLC,,False,"446 KENT AVENUE, APT 4B, BROOKLYN, NY, 11249","446 KENT AVENUE, APT 4B, BROOKLYN, NY, 11249",,,,True,,service_agent,False,Ar Burgers Llc (Atul Singh),Ar Burgers Llc (Atul Singh),1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Oneida,,,AR BURGERS LLC,
"Larchmont Pancake House, Inc.",,1,IHOP,1,No,NY,NY,1,(914) 834-4734,1375 Boston Post Road,,,,,1,"LARCHMONT PANCAKE HOUSE, INC.",1006522,Active,DOMESTIC BUSINESS CORPORATION,06/21/1985,New York,C/O ANDREW L. SOKOL,,False,"420 Lexington Avenue, Suite 300, New York, NY, 10170","420 Lexington Avenue, Suite 300, New York, NY, 10170",,,,True,PORTIA DEGAST,owner_operator,False,"Larchmont Pancake House, Inc.","Larchmont Pancake House, Inc.",1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Westchester,PORTIA DEGAST,"PORTIA DEGAST, FORT LEE, NJ, 07024",C/O ANDREW L. SOKOL,
Mave Corp.,,1,IHOP,1,No,NY,NY,1,(516)365-2732,1586 Northern Blvd,,,,,1,MAVE CORP.,1726747,Active,DOMESTIC BUSINESS CORPORATION,05/14/1993,New York,MAVE CORP.,,False,"1586 NORTHERN BLVD, MANHASSET, NY, 11030","1586 NORTHERN BLVD, MANHASSET, NY, 11030",,,,True,VICTOR ARTIEDA,owner_operator,False,Mave Corp.,Mave Corp.,1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Nassau,VICTOR ARTIEDA,"VICTOR ARTIEDA, MANHASSET, NY, 11030",MAVE CORP.,"1586 NORTHERN BLVD, MANHASSET, NY, 11030"
Pancake Pack Corp,,1,IHOP,1,No,NY,NY,1,(718) 659-6501,9801 Liberty Avenue,,,,,1,PANCAKE PACK CORP.,7682824,Active,DOMESTIC BUSINESS CORPORATION,08/11/2025,New York,PANCAKE PACK CORP.,,False,"2060 DECATUR AVENUE, BELLMORE, NY, 11710","2060 DECATUR AVENUE, BELLMORE, NY, 11710",,,,True,,service_agent,True,Pancake Pack Corp,Pancake Pack Corp,1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Queens,,,PANCAKE PACK CORP.,
"Vb Stacks, Llc",,1,IHOP,1,No,NY,NY,1,(718)719-2630,2951 Avenue U,,,,,1,"VB STACKS, LLC",5705203,Active,DOMESTIC LIMITED LIABILITY COMPANY,02/10/2020,New York,"VB STACKS, LLC",,False,"2060 DECATUR AVENUE, BELLMORE, NY, 11710","2060 DECATUR AVENUE, BELLMORE, NY, 11710",,,,True,,service_agent,True,"Vb Stacks, Llc","Vb Stacks, Llc",1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Nassau,,,"VB STACKS, LLC",
Victoria Food Llc,,1,IHOP,1,No,NY,NY,1,(631) 423-8760,259B Old Walt Whitman Rd,,,,,1,VICTORIA FOOD LLC,6703918,Active,DOMESTIC LIMITED LIABILITY COMPANY,01/20/2023,New York,VICTORIA FOOD LLC,,False,"31 Oak Street, Suite #1, Patchogue, NY, 11772","31 Oak Street, Suite #1, Patchogue, NY, 11772",,,,True,,service_agent,False,Victoria Food Llc,Victoria Food Llc,1.000,200.00,,2026-05-06T18:37:24.483300+00:00,,Suffolk,,,VICTORIA FOOD LLC,
