franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address,entity_type,classification_method,search_target
Jprieto Hospitality Llc,,Jprieto,9,Cinnabon,1,No,TEXAS,TEXAS,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jprieto Hospitality Llc Cinnabon franchisee TEXAS,,,,,(972) 293-1500,207 East FM Road 1382,company,regex,Jprieto Hospitality Llc
"Dunn & Bowling, Ltd.","Dunn & Bowling Ltd / Dunn & Bowling, Ltd.",Dunn,9,Dairy Queen | KFC,2,Yes,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Dunn & Bowling, Ltd. Dairy Queen franchisee OH",,,,,4192943140,1290 N Warpole St,company,regex,"Dunn & Bowling, Ltd."
Noble Dq Stores Inc,,Noble,9,Dairy Queen,1,No,IL,IL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Noble Dq Stores Inc Dairy Queen franchisee IL,,,,,6308922856,126 N LAKE ST,company,regex,Noble Dq Stores Inc
You Scream Holdings Llc,,You,9,Dairy Queen,1,No,AR,AR,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,You Scream Holdings Llc Dairy Queen franchisee AR,,,,,5017946230,2014 Highway 5 N,company,regex,You Scream Holdings Llc
"Darger, Guy",,"Darger,",9,Domino's,1,No,AL,AL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Darger, Guy Domino's franchisee AL",,,,,(205) 426-1131,"3979 Parkwood Rd., Suite #101",person,ai,Guy Darger
"Dawoud, Mohammed (David)",,David,9,Domino's,1,No,AL,AL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,David Domino's franchisee AL,,,,,(205) 847-5300,3421 South Shades Crest Road Suite 119,company_with_owner,regex,David
"Turner, D. Craig",,"Turner,",9,Domino's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Turner, D. Craig Domino's franchisee CA",,,,,(209) 798-0330,2605 Pacific Ave.,person,ai,D. Craig Turner
"Prellwitz, Philip",,"Prellwitz,",9,Domino's,1,No,CO,CO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Prellwitz, Philip Domino's franchisee CO",,,,,(970) 669-8512,1535 W. Eisenhower Blvd.,person,ai,Philip Prellwitz
"Kearns, David",,"Kearns,",9,Domino's,1,No,UT,CO | ID | NV | UT,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Kearns, David Domino's franchisee UT",,,,,(970) 704-0330,1089 Hwy. 133,person,ai,David Kearns
"Vivas, Gaston",,"Vivas,",9,Domino's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Vivas, Gaston Domino's franchisee FL",,,,,(239) 387-3003,17247 San Carlos Blvd. Suite 201,person,ai,Gaston Vivas
"Nayem, Md",,"Nayem,",9,Domino's,1,No,IA,IA | IL | WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Nayem, Md Domino's franchisee IA",,,,,(319) 483-9444,501 Bremer Ave.,person,ai,Md Nayem
"Bower, Brian Patrick",,"Bower,",9,Domino's,1,No,IA,IA | NE,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Bower, Brian Patrick Domino's franchisee IA",,,,,(515) 581-7020,710 Common Place,person,ai,Brian Patrick Bower
"Ocel, Scott A.",,"Ocel,",9,Domino's,1,No,IA,IA | IL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Ocel, Scott A. Domino's franchisee IA",,,,,(563) 279-0007,619 E. Le Claire Road,person,ai,Scott A. Ocel
"Duvall, Samuel Edward",,"Duvall,",9,Domino's,1,No,IL,IL | IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Duvall, Samuel Edward Domino's franchisee IL",,,,,(618) 392-8000,820 E. Main Street,person,ai,Samuel Edward Duvall
"Razban, Ahmad",,"Razban,",9,Domino's,1,No,KY,KY | TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Razban, Ahmad Domino's franchisee KY",,,,,(270) 527-1030,"31 Carroll Rd., Ste. B",person,ai,Ahmad Razban
"Thornton, Matthew Joseph",,"Thornton,",9,Domino's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Thornton, Matthew Joseph Domino's franchisee MI",,,,,(248) 716-5551,10531 Highland Road,person,ai,Matthew Joseph Thornton
"Shifflett, Juan Jason",,"Shifflett,",9,Domino's,1,No,MS,MS | TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Shifflett, Juan Jason Domino's franchisee MS",,,,,(662) 273-0303,11201 Old Goodman Road Suite 500,person,ai,Juan Jason Shifflett
"Jahangir, Waheed",,"Jahangir,",9,Domino's,1,No,NJ,NJ | PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Jahangir, Waheed Domino's franchisee NJ",,,,,(973) 378-7900,59 Academy St.,person,ai,Waheed Jahangir
"Anis, Furqan",,"Anis,",9,Domino's,1,No,PA,OH | PA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Anis, Furqan Domino's franchisee PA",,,,,(330) 921-4199,919 Columbiana Canfield Road,person,ai,Furqan Anis
"Brown, Michael W.",,"Brown,",9,Domino's,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Brown, Michael W. Domino's franchisee WA",,,,,(253) 501-7555,"3840 Pacific Avenue East, Suite C 101",person,ai,Michael W. Brown
"Jones Valley Burgers, Inc. (Kumar Patel)","Decatur Burgers, Inc. (Kumar Patel) / Huntsville Burgers, Inc. (Kumar Patel) / Jones Valley Burgers, Inc. (Kumar Patel) / Town Madison Burgers, Inc. (Kumar Patel)",Kumar,9,Five Guys,1,No,AL,AL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kumar Patel Five Guys franchisee AL,,,,,256-355-1286,"1241 Point Mallard Pkwy., Ste. 103",company_with_owner,regex,Kumar Patel
"M Assets, Llc (Dan Beaulieu)",,Dan,9,Five Guys,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Dan Beaulieu Five Guys franchisee FL,,,,,239-221-8711,"12031 Bonita Beach Rd. SE, Ste. 170",company_with_owner,regex,Dan Beaulieu
Montana Burgers Inc. (Patrick Carls),,Patrick,9,Five Guys,1,No,MT,MT | WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Patrick Carls Five Guys franchisee MT,,,,,406-601-1066,"1020 Shiloh Crossing Blvd., Ste. 4",company_with_owner,regex,Patrick Carls
"Rmr5 Nevada, Llc (Russel Rosenblum)",,Russel,9,Five Guys,1,No,NV,NV,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Russel Rosenblum Five Guys franchisee NV,,,,,702-816-4100,"10271 S. Eastern, Ste. 101",company_with_owner,regex,Russel Rosenblum
"Griff Ventures, Inc. (Kevin Griffith)",,Kevin,9,Five Guys,1,No,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Kevin Griffith Five Guys franchisee SC,,,,,864-716-0466,3501 Clemson Blvd.,company_with_owner,regex,Kevin Griffith
"Seattle Burgers, Inc. (Amjad Iraqi)",,Amjad,9,Five Guys,1,No,WA,WA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Amjad Iraqi Five Guys franchisee WA,,,,,425-489-8555,1111 228th St. SE,company_with_owner,regex,Amjad Iraqi
"Rmls Hop Texas, L.L.C.",,Rmls,9,IHOP,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Rmls Hop Texas, L.L.C. IHOP franchisee TX",,,,,432-242-4600,704 West Interstate 20,company,regex,"Rmls Hop Texas, L.L.C."
Ruby Xviii Llc,"Ruby I.X. Llc / Ruby V, Llc / Ruby X, Llc / Ruby Xii Llc / Ruby Xiv, Llc / Ruby Xix Llc / Ruby Xv, Llc / Ruby Xviii Llc / Ruby Xx Llc",Ruby,9,IHOP,1,No,LA,LA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Ruby Xviii Llc IHOP franchisee LA,,,,,9857464896,1719 Martin Luther King Jr Blvd,company,regex,Ruby Xviii Llc
"Rmls Hop Ohio, L.L.C.",,Rmls,9,IHOP,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Rmls Hop Ohio, L.L.C. IHOP franchisee OH",,,,,(614) 851-3909,5500 Renner Road,company,regex,"Rmls Hop Ohio, L.L.C."
"Clamore Viii, Llc","Clamore Ii, Llc / Clamore Iii, Llc / Clamore V, Llc / Clamore Vii, Llc / Clamore Viii, Llc / Clamore X, Llc / Clamore Xi, Llc / Clamore Xii Llc / Clamore Xiv, Llc",Clamore,9,IHOP,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Clamore Viii, Llc IHOP franchisee TN",,,,,(865) 981-9677,906 Turner Street,company,regex,"Clamore Viii, Llc"
"Suncakes Tn, Llc",,Suncakes,9,IHOP,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Suncakes Tn, Llc IHOP franchisee TN",,,,,629-204-3890,5016 Old Hickory Blvd,company,regex,"Suncakes Tn, Llc"
"Creative Juices, Inc.",,Creative,9,Jamba,1,No,CALIFORNIA,CALIFORNIA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Creative Juices, Inc. Jamba franchisee CALIFORNIA",,,,,831.475.2582,"3555 Clares Street, Ste. S",company,regex,"Creative Juices, Inc."
Whirl Colorado Llc,,Whirl,9,Jamba,1,No,COLORADO,COLORADO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Whirl Colorado Llc Jamba franchisee COLORADO,,,,,303.284.4852,14151 E. Cedar Ave.,company,regex,Whirl Colorado Llc
Grak Concepts Llc,,Grak,9,Jamba,1,No,FLORIDA,FLORIDA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Grak Concepts Llc Jamba franchisee FLORIDA,,,,,561.620.8895,1400 Glades Rd.,company,regex,Grak Concepts Llc
"Integra Holdings C3.17, Llc","Integra Holdings C3.17, Llc / Integra Holdings Corp.",Integra,9,Jimmy John's,1,No,MI,MI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Integra Holdings C3.17, Llc Jimmy John's franchisee MI",,,,,810-714-9393,3208 W Silver Lake Rd,company,regex,"Integra Holdings C3.17, Llc"
"The Natelli Group Vii, Ltd","The Natelli Group Iii, Ltd / The Natelli Group Iv, Ltd / The Natelli Group Ix, Ltd / The Natelli Group V, Ltd / The Natelli Group Vi, Ltd / The Natelli Group Vii, Ltd / The Natelli Group X, Ltd / The Natelli Group Xi Ltd / The Natelli Group, Ltd",The,9,Jimmy John's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"The Natelli Group Vii, Ltd Jimmy John's franchisee OH",,,,,330-374-7827,371 S Main St,company,regex,"The Natelli Group Vii, Ltd"
"Mj Sandwich 2, Llc","Mj Sandwich 2, Llc / Mj Sandwich 3, Llc / Mj Sandwich 4, Llc / Mj Sandwich 5, Llc / Mj Sandwich 6 Llc / Mj Sandwich 7 Llc / Mj Sandwich 8 Llc / Mj Sandwich 9 Llc / Mj Sandwich, Llc",Mj,9,Jimmy John's,1,No,OH,OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Mj Sandwich 2, Llc Jimmy John's franchisee OH",,,,,440-282-1424,2235 Kresge Dr,company,regex,"Mj Sandwich 2, Llc"
"Fowl Play Sc, Llc","Fowl Play Sc, Llc / Sc Ops Llc",Fowl,9,Jimmy John's | Zaxby's,2,Yes,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Fowl Play Sc, Llc Jimmy John's franchisee SC",,,,,864-222-1385,1803 E Greenville St,company,regex,"Fowl Play Sc, Llc"
"Blue Rock Holdings, Llc","Blue Rock 1117, Llc / Blue Rock 1422, Llc / Blue Rock 2624, Llc / Blue Rock 2758 Llc / Blue Rock 2759 Llc / Blue Rock 3398 Llc / Blue Rock 3905, Llc / Blue Rock 824, Llc / Blue Rock Holdings, Llc",Blue,9,Jimmy John's,1,No,TX,TX,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Blue Rock Holdings, Llc Jimmy John's franchisee TX",,,,,806-354-9200,2330 S Soncy Rd,company,regex,"Blue Rock Holdings, Llc"
Inp Investments Llc,,Inp,9,KFC,1,No,AZ,AZ,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Inp Investments Llc KFC franchisee AZ,,,,,281/569-4640,650 South Highway 90,company,regex,Inp Investments Llc
"H & H Food Services, L.L.C.",,H,9,KFC,1,No,GA,GA | SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"H & H Food Services, L.L.C. KFC franchisee GA",,,,,912/764-9991,13039 GA Highway 251,company,regex,"H & H Food Services, L.L.C."
"Houston Enterprises Usa, Inc.","Houston Enterprises Usa, Inc. / Houston Enterprises, Inc.",Houston,9,KFC,1,No,IN,IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Houston Enterprises Usa, Inc. KFC franchisee IN",,,,,413/540-0018,1425 James Avenue,company,regex,"Houston Enterprises Usa, Inc."
"Phoenix Taco, L.L.C.",,Phoenix,9,KFC,1,No,NC,NC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Phoenix Taco, L.L.C. KFC franchisee NC",,,,,786/845-6402,1045 W Sugar Creek Road,company,regex,"Phoenix Taco, L.L.C."
"Star Brands Ii, Llc",,Star,9,KFC,1,No,SC,SC,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Star Brands Ii, Llc KFC franchisee SC",,,,,502/387-0265,5890 Rivers Ave.,company,regex,"Star Brands Ii, Llc"
"Ajs Associates, A Ky General Partnership",,Ajs,9,KFC,1,No,TN,TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,"Ajs Associates, A Ky General Partnership KFC franchisee TN",,,,,812/246-8283,314 Long Hollow Pike,company,regex,"Ajs Associates, A Ky General Partnership"
John M Mcfarland,,John,9,McDonald's,1,No,AL,AL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,John M Mcfarland McDonald's franchisee AL,,,,,251-829-4185,20890 HIGHWAY 43,person,regex,John M Mcfarland
Gregg Descher,,Gregg,9,McDonald's,1,No,MS,AL | MS,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Gregg Descher McDonald's franchisee MS,,,,,251-866-0620,19355 3RD STREET,person,regex,Gregg Descher
Darren Sells,,Darren,9,McDonald's,1,No,TN,AR | MO | TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Darren Sells McDonald's franchisee TN,,,,,870-857-3050,201 N MISSOURI AVE,person,regex,Darren Sells
Neal Ruby,,Neal,9,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Neal Ruby McDonald's franchisee CA,,,,,714-777-1026,5621 E LA PALMA AVE,person,regex,Neal Ruby
Margarita T Worley,,Margarita,9,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Margarita T Worley McDonald's franchisee CA,,,,,626-969-2815,980 E ALOSTA AVE,person,regex,Margarita T Worley
Suzette Hofman,,Suzette,9,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Suzette Hofman McDonald's franchisee CA,,,,,408-848-2509,7150 CAMINO ARROYO (WM #2002),person,regex,Suzette Hofman
Raymond Costa,,Raymond,9,McDonald's,1,No,CA,CA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Raymond Costa McDonald's franchisee CA,,,,,831-675-8753,805 5TH ST,person,regex,Raymond Costa
Jose A Montes,,Jose,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Jose A Montes McDonald's franchisee FL,,,,,239-549-2556,1222 CAPE CORAL PKY,person,regex,Jose A Montes
Stefanie M Cabrera-Bentancourt,,Stefanie,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Stefanie M Cabrera-Bentancourt McDonald's franchisee FL,,,,,305-621-2323,4686 NW 183RD ST,person,regex,Stefanie M Cabrera-Bentancourt
Timothy J Fenton,,Timothy,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Timothy J Fenton McDonald's franchisee FL,,,,,239-936-5494,12290 S CLEVELND AVE,person,regex,Timothy J Fenton
Anthony E Cabrera,,Anthony,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Anthony E Cabrera McDonald's franchisee FL,,,,,954-981-8884,3247 HOLLYWOOD BLVD,person,regex,Anthony E Cabrera
David L Mullins,,David,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,David L Mullins McDonald's franchisee FL,,,,,904-724-0177,9841 ATLANTIC BLVD,person,regex,David L Mullins
Lanny G Sumpter,,Lanny,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Lanny G Sumpter McDonald's franchisee FL,,,,,863-688-6265,715 EAST MEMORIAL BLVD,person,regex,Lanny G Sumpter
Leonardo Lopez,,Leonardo,9,McDonald's,1,No,FL,FL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Leonardo Lopez McDonald's franchisee FL,,,,,305-598-4933,9681 SW 72ND ST,person,regex,Leonardo Lopez
O Steve Akinboro,,O,9,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,O Steve Akinboro McDonald's franchisee GA,,,,,678-366-3340,10975 STATE BRIDGE RD,person,ai,Steve Akinboro
Luke T Muller,,Luke,9,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Luke T Muller McDonald's franchisee GA,,,,,678-366-3145,5750 HWY 9 N,person,regex,Luke T Muller
Paul J Messer,,Paul,9,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Paul J Messer McDonald's franchisee GA,,,,,706-543-0522,1124 PRINCE AVE,person,regex,Paul J Messer
Drew B Muller,,Drew,9,McDonald's,1,No,GA,GA,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Drew B Muller McDonald's franchisee GA,,,,,404-929-9833,2350 CHESHIRE BRIDGE ROAD NE,person,regex,Drew B Muller
James D Aaron,,James,9,McDonald's,1,No,GA,GA | TN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,James D Aaron McDonald's franchisee GA,,,,,706-375-9340,106 LAFAYETTE ROAD,person,regex,James D Aaron
William H Mcessy,,William,9,McDonald's,1,No,WI,IL | WI,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,William H Mcessy McDonald's franchisee WI,,,,,847-746-8430,39082 N SHERIDAN RD,person,regex,William H Mcessy
John Carnagio,,John,9,McDonald's,1,No,IL,IL,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,John Carnagio McDonald's franchisee IL,,,,,630-783-1629,840 E BOUGHTON ROAD,person,regex,John Carnagio
Nicholas J Kasprzyk,,Nicholas,9,McDonald's,1,No,IN,IL | IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Nicholas J Kasprzyk McDonald's franchisee IN,,,,,217-932-5999,940 N RTE 49,person,regex,Nicholas J Kasprzyk
John Liapes,,John,9,McDonald's,1,No,IN,IN,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,John Liapes McDonald's franchisee IN,,,,,317-272-6926,6856 E US HWY 36,person,regex,John Liapes
Michael L Burrell,,Michael,9,McDonald's,1,No,KY,IN | KY,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Michael L Burrell McDonald's franchisee KY,,,,,812-421-0569,115 S ROSENBERGER,person,regex,Michael L Burrell
Alyssa Moten,,Alyssa,9,McDonald's,1,No,KS,KS,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Alyssa Moten McDonald's franchisee KS,,,,,316-733-0001,115 CENTRAL AVENUE,person,regex,Alyssa Moten
John M Bell,,John,9,McDonald's,1,No,MO,KS | MO,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,John M Bell McDonald's franchisee MO,,,,,913-371-0606,3725 STATE AVENUE,person,regex,John M Bell
Brian Kilroy,,Brian,9,McDonald's,1,No,OH,KY | OH,B,nova_qsr_tier_b,Founder-led. Owner personally reviews candidates. Pain: no bandwidth for structured interviews at scale. Pitch: Nova as their first hire — automates screening so they stay in operations.,Brian Kilroy McDonald's franchisee OH,,,,,859-261-2000,1930 MONMOUTH STREET,person,regex,Brian Kilroy
